Job_Zone;code;title;trad;CBO2002;TITULO;prox
5;11-9041.00;Architectural and Engineering Managers;Gerentes de Arquitetura e Engenharia;252605;Gerente de segurança empresarial;0.6470588235294118
4;11-9041.01;Biofuels/Biodiesel Technology and Product Development Managers;Gerentes de Desenvolvimento de Produtos e Tecnologia de Biocombustíveis / Biodiesel;;;
2;11-9051.00;Food Service Managers;Gerentes de Serviços de Alimentos;142705;Gerente de serviço de manutenção;0.7692307692307693
3;11-9061.00;Funeral Service Managers;Funeral Service Managers;;;
3;11-9071.00;Gaming Managers;Gaming Managers;;;
4;11-9081.00;Lodging Managers;Gerentes de hospedagem;141205;Gerente de montagem;0.7804878048780488
5;11-9111.00;Medical and Health Services Managers;Gerentes de Serviços Médicos e de Saúde;131210;Gerente de serviços de saúde;0.7761194029850746
5;11-9121.00;Natural Sciences Managers;Gerentes de Ciências Naturais;131115;Gerente de serviços culturais;0.6896551724137931
4;11-9121.01;Clinical Research Coordinators;Coordenadores de Pesquisa Clínica;141510;Coordenador de restaurante;0.6779661016949152
4;11-9121.02;Water Resource Specialists;Especialistas em recursos hídricos;201215;Especialista em ensaios metrológicos;0.7428571428571429
2;11-9131.00;Postmasters and Mail Superintendents;Postmasters e Superintendentes de Correio;263105;Superintendente de culto religioso;0.64
4;11-9141.00;Property, Real Estate, and Community Association Managers;Gerentes de Propriedade, Imobiliário e Associação Comunitária;;;
4;11-9151.00;Social and Community Service Managers;Gerentes de serviços sociais e comunitários;131120;Gerente de serviços sociais;0.7714285714285715
4;11-9161.00;Emergency Management Directors;Diretores de Gerenciamento de Emergência;131110;Diretor de departamento de esportes;0.6666666666666666
4;11-9161.00;Emergency Management Directors;Diretores de Gerenciamento de Emergência;131205;Diretor de departamento de saúde;0.6666666666666666
4;11-9199.01;Regulatory Affairs Managers;Diretores de Assuntos Regulatórios;122710;Diretor de produtos bancários;0.6666666666666666
4;11-9199.02;Compliance Managers;Gerentes de Compliance;513435;Servente de lanche;0.75
5;11-9199.03;Investment Fund Managers;Gerentes de Fundo de Investimento;142315;Gerente de divisão de marketing;0.65625
4;11-9199.04;Supply Chain Managers;Gerentes de cadeia de suprimentos;123405;Diretor de logística e de suprimentos;0.7142857142857143
4;11-9199.07;Security Managers;Gerentes de segurança;142110;Gerente de seguros;0.8205128205128205
4;11-9199.08;Loss Prevention Managers;Gerentes de Prevenção de Perda;517425;Assistente de prevenção de perdas;0.7619047619047619
4;11-9199.09;Wind Energy Operations Managers;Gerentes de Operações de Energia Eólica;141525;Gerente de operações de turismo;0.7142857142857143
4;11-9199.10;Wind Energy Project Managers;Gerentes de Projetos de Energia Eólica;142520;Gerente de projetos de tecnologia da informação;0.6823529411764706
4;11-9199.11;Brownfield Redevelopment Specialists and Site Managers;Especialistas em redesenho de campo marrom e gerentes de sites;142610;Especialista em desenvolvimento de cigarros;0.6095238095238096
4;13-1011.00;Agents and Business Managers of Artists, Performers, and Athletes;Agentes e gerentes de negócios de artistas, artistas e atletas;;;
4;13-1021.00;Buyers and Purchasing Agents, Farm Products;Compradores e Agentes de Compras, Produtos Agrícolas;641010;Operador de secador (produtos agrícolas);0.6086956521739131
3;13-1022.00;Wholesale and Retail Buyers, Except Farm Products;Compradores de atacado e varejo, com exceção de produtos agrícolas;641010;Operador de secadeiras no beneficiamento de produtos agrícolas;0.640625
4;13-1023.00;Purchasing Agents, Except Wholesale, Retail, and Farm Products;Agentes de compras, exceto atacado, varejo e produtos agrícolas;;;
4;13-1031.01;Claims Examiners, Property and Casualty Insurance;Examinadores de Reclamações, Seguro de Propriedade e Obstáculos;;;
3;13-1031.02;Insurance Adjusters, Examiners, and Investigators;Ajustadores de seguros, Examinadores e Investigadores;;;
3;13-1032.00;Insurance Appraisers, Auto Damage;Avaliadores de seguros, Auto Damage;354415;Avaliador de automóveis;0.6206896551724138
4;13-1041.01;Environmental Compliance Inspectors;Inspetores de Conformidade Ambiental;391205;Inspetor de qualidade material;0.6666666666666666
3;13-1041.02;Licensing Examiners and Inspectors;Examinadores e Inspetores de Licenciamento;710220;Encarregado de setor de concreto;0.6216216216216216
4;13-1041.03;Equal Opportunity Representatives and Officers;Representantes e Oficiais de Igualdade de Oportunidades;;;
3;13-1041.04;Government Property Inspectors and Investigators;Inspetores de propriedade do governo e pesquisadores;;;
3;13-1041.06;Coroners;Coroners;391110;Cronometrista;0.6666666666666666
4;13-1041.07;Regulatory Affairs Specialists;Especialistas em Assuntos Regulatórios;201215;Especialista em ensaios metrológicos;0.6756756756756757
4;13-1051.00;Cost Estimators;Estimadores de custo;761410;Estampador de tecido;0.7
4;13-1071.00;Human Resources Specialists;Especialistas em Recursos Humanos;252405;Analista de recursos humanos;0.7540983606557377
2;13-1074.00;Farm Labor Contractors;Contratantes de trabalho agrícola;620105;Capataz da exploração agrícola;0.6031746031746031
4;13-1075.00;Labor Relations Specialists;Especialistas em relações de trabalho;123210;Diretor de relações de trabalho;0.7352941176470589
4;13-1081.00;Logisticians;Logísticos;;;
4;13-1081.01;Logistics Engineers;Engenheiros de logística;214945;Engenheiro de logistica;0.9361702127659575
4;13-1081.02;Logistics Analysts;Analistas logísticos;252715;Analista de logistica;0.7804878048780488
5;13-1111.00;Management Analysts;Analistas de Gestão;252725;Analista de estoque;0.8421052631578947
4;13-1121.00;Meeting, Convention, and Event Planners;Planejadores de reuniões, convenções e eventos;314210;Planejador de processos (manutenção de ferramentas);0.6185567010309279
4;13-1131.00;Fundraisers;Fundraisers;;;
4;13-1141.00;Compensation, Benefits, and Job Analysis Specialists;Especialistas em Remuneração, Benefícios e Análise de Emprego;;;
4;13-1151.00;Training and Development Specialists;Especialistas em treinamento e desenvolvimento;142610;Especialista em desenvolvimento de cigarros;0.6966292134831461
4;13-1161.00;Market Research Analysts and Marketing Specialists;Analistas de Marketing e Especialistas em Marketing;;;
3;13-1199.01;Energy Auditors;Auditores de Energia;261620;Editor de revista;0.6486486486486487
4;13-1199.02;Security Management Specialists;Especialistas em gerenciamento de segurança;142610;Especialista em desenvolvimento de cigarros;0.6976744186046512
3;13-1199.03;Customs Brokers;Agentes alfandegários;516505;Agente funerário;0.7567567567567568
4;13-1199.04;Business Continuity Planners;Planejadores de Continuidade de Negócios;262905;Planejador de interiores;0.625
4;13-1199.05;Sustainability Specialists;Especialistas em Sustentabilidade;252210;Analista de contabilidade;0.6896551724137931
4;13-1199.06;Online Merchants;Comerciantes on-line;;;
4;13-2011.01;Accountants;Contadores;252210;Contador;0.8888888888888888
4;13-2011.02;Auditors;Auditores;262505;Ator;0.6153846153846154
3;13-2021.01;Assessors;Assessores;252310;Assessor bilíngüe;0.6666666666666666
4;13-2021.02;Appraisers, Real Estate;Avaliadores, Imóveis;354410;Avaliador de imóveis;0.85
4;13-2031.00;Budget Analysts;Analistas de orçamento;252105;Administrador de orçamento;0.7916666666666666
4;13-2041.00;Credit Analysts;Analistas de crédito;252530;Analista de crédito rural;0.8444444444444444
4;13-2051.00;Financial Analysts;Analistas Financeiros;252105;Administrador financeiro;0.7111111111111111
4;13-2052.00;Personal Financial Advisors;Assessores financeiros pessoais;;;
4;13-2053.00;Insurance Underwriters;Assinantes de seguros;517330;Assistente de segurança;0.7272727272727273
4;13-2061.00;Financial Examiners;Examinadores Financeiros;252105;Administrador financeiro;0.7083333333333334
4;13-2071.00;Credit Counselors;Conselheiros de crédito;513225;Cozinheiro de bordo;0.7142857142857143
4;13-2071.01;Loan Counselors;Conselheiros de Empréstimos;214905;Engenheiro de processos;0.64
3;13-2072.00;Loan Officers;Oficiais de empréstimo;351415;Oficial de registro;0.6829268292682927
3;13-2081.00;Tax Examiners and Collectors, and Revenue Agents;Examinadores Fiscais e Coletores e Agentes de Receita;;;
3;13-2082.00;Tax Preparers;Preparadores de impostos;848605;Preparador de fumo;0.7619047619047619
5;13-2099.01;Financial Quantitative Analysts;Analistas Quantitativos Financeiros;252545;Analista de planejamento financeiro;0.6571428571428571
4;13-2099.02;Risk Management Specialists;Especialistas em Gerenciamento de Riscos;142610;Especialista em desenvolvimento de cigarros;0.7710843373493976
4;13-2099.04;Fraud Examiners, Investigators and Analysts;Examinadores de fraude, pesquisadores e analistas;;;
5;15-1111.00;Computer and Information Research Scientists;Cientistas de pesquisa de informática e informação;424110;Entrevistador de pesquisa de opinião e mídia;0.6382978723404256
4;15-1121.00;Computer Systems Analysts;Analistas de sistemas informáticos;212405;Analista de sistemas (informática);0.9117647058823529
4;15-1121.01;Informatics Nurse Specialists;Especialistas em enfermagem informática;752305;Especialista em cerâmica;0.6984126984126984
4;15-1122.00;Information Security Analysts;Analistas de segurança da informação;212320;Analista em segurança da informação;0.9577464788732394
4;15-1131.00;Computer Programmers;Programadores de computador;317110;Programador de computador;0.9615384615384616
4;15-1132.00;Software Developers, Applications;Desenvolvedores de software, aplicativos;;;
4;15-1133.00;Software Developers, Systems Software;Desenvolvedores de Software, Software de Sistemas;;;
3;15-1134.00;Web Developers;Desenvolvedores da Web;;;
4;15-1141.00;Database Administrators;Administradores de banco de dados;212305;Administrador de banco de dados;0.96875
4;15-1142.00;Network and Computer Systems Administrators;Administradores de sistemas de rede e computador;212315;Administrador de sistemas computacionais;0.7727272727272727
4;15-1143.00;Computer Network Architects;Arquitetos de redes informáticas;214105;Arquiteto de edificações;0.75
3;15-1143.01;Telecommunications Engineering Specialists;Especialistas em Engenharia de Telecomunicações;203220;Especialista em engenharia mecânica;0.7804878048780488
3;15-1151.00;Computer User Support Specialists;Especialistas em suporte ao usuário do computador;212420;Analista de suporte computacional;0.6097560975609756
4;15-1152.00;Computer Network Support Specialists;Especialistas em suporte de redes informáticas;212320;Especialista em segurança da informação;0.6823529411764706
4;15-1199.01;Software Quality Assurance Engineers and Testers;Engenheiros e Testadores de Qualidade de Software;214910;Engenheiro de qualidade;0.6111111111111112
4;15-1199.02;Computer Systems Engineers/Architects;Engenheiros de Sistemas de Computador / Arquitetos;212210;Engenheiro de sistemas computacionais - equipamentos;0.7450980392156863
3;15-1199.03;Web Administrators;Administradores da Web;252105;Administrador;0.7428571428571429
4;15-1199.04;Geospatial Information Scientists and Technologists;Informação Geoespacial Cientistas e Tecnólogos;;;
4;15-1199.05;Geographic Information Systems Technicians;Técnicos de Sistemas de Informação Geográfica;311105;Técnico de sistema de tratamento de água;0.6352941176470588
4;15-1199.06;Database Architects;Arquitetos de banco de dados;212305;Administrador de banco de dados;0.711864406779661
4;15-1199.08;Business Intelligence Analysts;Analistas de Inteligência de Negócios;142335;Analista de inteligência de mercado;0.8333333333333334
4;15-1199.09;Information Technology Project Managers;Gerentes de Projetos de Tecnologia da Informação;142520;Gerente de projetos de tecnologia da informação;0.9263157894736842
4;15-1199.10;Search Marketing Strategists;Pesquisar estrategistas de marketing;142315;Gerente de marketing;0.6428571428571429
4;15-1199.11;Video Game Designers;Criadores de videogames;325015;Criadores de perfumes;0.7727272727272727
4;15-1199.12;Document Management Specialists;Especialistas em gerenciamento de documentos;142610;Especialista em desenvolvimento de cigarros;0.735632183908046
4;15-2011.00;Actuaries;Atuários;211105;Atuário;0.9333333333333333
5;15-2021.00;Mathematicians;Matemáticos;211115;Matemático;0.9523809523809523
5;15-2031.00;Operations Research Analysts;Analistas de Pesquisa de Operações;142335;Analista de pesquisa de mercado;0.8
5;15-2041.00;Statisticians;Estatísticos;211205;Estatístico;0.9565217391304348
5;15-2041.01;Biostatisticians;Biostatisticians;211210;Bioestatístico;0.7333333333333333
4;15-2041.02;Clinical Data Managers;Gerentes de dados clínicos;142110;Gerente de riscos;0.6976744186046512
4;15-2091.00;Mathematical Technicians;Técnicos matemáticos;311410;Técnico em plástico;0.7692307692307693
4;15-2091.00;Mathematical Technicians;Técnicos matemáticos;314310;Técnico aeronáutico;0.7692307692307693
4;17-1011.00;Architects, Except Landscape and Naval;Arquitetos, exceto paisagem e naval;214120;Arquiteto da paisagem;0.6785714285714286
4;17-1012.00;Landscape Architects;Arquitetos de paisagem;214120;Arquiteto da paisagem;0.9302325581395349
4;17-1021.00;Cartographers and Photogrammetrists;Cartografistas e fotogrametristas;;;
4;17-1022.00;Surveyors;Topógrafos;262815;Coreógrafo;0.7
4;17-1022.01;Geodetic Surveyors;Topógrafos geodésicos;;;
4;17-2011.00;Aerospace Engineers;Engenheiros aeroespaciais;214605;Engenheiro de materiais;0.75
4;17-2021.00;Agricultural Engineers;Engenheiros Agrícolas;222105;Engenheiro agrícola;0.9
4;17-2031.00;Biomedical Engineers;Engenheiros biomédicos;214405;Engenheiro mecânico;0.7317073170731707
4;17-2041.00;Chemical Engineers;Engenheiros químicos;214405;Engenheiro mecânico;0.7692307692307693
4;17-2051.00;Civil Engineers;Engenheiros civis;214430;Engenheiro naval;0.7272727272727273
4;17-2051.01;Transportation Engineers;Engenheiros de transporte;342120;Agente de transporte;0.8
4;17-2051.01;Transportation Engineers;Engenheiros de transporte;374115;Engenheiro de master;0.8
4;17-2061.00;Computer Hardware Engineers;Engenheiros de informática;214945;Engenheiro de logistica;0.7755102040816326
4;17-2071.00;Electrical Engineers;Engenheiros elétricos;214920;Engenheiro de riscos;0.8292682926829268
4;17-2072.00;Electronics Engineers, Except Computer;Engenheiros eletrônicos, exceto computador;214315;Engenheiro eletricista de manutenção;0.6666666666666666
4;17-2072.01;Radio Frequency Identification Device Specialists;Especialistas em dispositivos de identificação por radiofrequência;;;
5;17-2081.00;Environmental Engineers;Engenheiros ambientais;214005;Engenheiro ambiental;0.9047619047619048
4;17-2081.01;Water/Wastewater Engineers;Engenheiros de água / esgoto;222205;Engenheiro de alimentos;0.7058823529411765
4;17-2111.01;Industrial Safety and Health Engineers;Engenheiros de Segurança e Saúde Industrial;214915;Engenheiro de segurança industrial;0.8311688311688312
4;17-2111.02;Fire-Prevention and Protection Engineers;Engenheiros de prevenção e proteção contra incêndios;214335;Engenheiro de manutenção de telecomunicações;0.6041666666666666
4;17-2111.03;Product Safety Engineers;Engenheiros de segurança de produtos;214915;Engenheiro de segurança do trabalho;0.7887323943661971
4;17-2112.00;Industrial Engineers;Engenheiros industriais;214605;Engenheiro de materiais;0.782608695652174
5;17-2112.01;Human Factors Engineers and Ergonomists;Fatores Humanos Engenheiros e Ergonomistas;;;
4;17-2121.01;Marine Engineers;Engenheiros marinhos;214705;Engenheiro de minas;0.7692307692307693
4;17-2121.02;Marine Architects;Arquitetos marinhos;214115;Arquiteto de patrimônio;0.7142857142857143
4;17-2131.00;Materials Engineers;Engenheiros de materiais;214605;Engenheiro de materiais;0.9787234042553191
4;17-2141.00;Mechanical Engineers;Engenheiros mecânicos;214405;Engenheiro mecânico;0.95
5;17-2141.01;Fuel Cell Engineers;Engenheiros de células de combustível;212205;Engenheiro de aplicativos em computação;0.6578947368421053
4;17-2141.02;Automotive Engineers;Engenheiros automotivos;214410;Engenheiro mecânico automotivo;0.7924528301886793
4;17-2151.00;Mining and Geological Engineers, Including Mining Safety Engineers;Engenheiros de mineração e geologia, incluindo engenheiros de segurança de mineração;;;
4;17-2161.00;Nuclear Engineers;Engenheiros nucleares;214415;Engenheiro mecânico nuclear;0.75
4;17-2171.00;Petroleum Engineers;Engenheiros de petróleo;202110;Engenheiro de controle;0.8
4;17-2199.01;Biochemical Engineers;Engenheiros bioquímicos;214405;Engenheiro mecânico;0.7142857142857143
4;17-2199.02;Validation Engineers;Engenheiros de Validação;202110;Engenheiro de automação;0.8085106382978723
4;17-2199.02;Validation Engineers;Engenheiros de Validação;214705;Engenheiro de mineração;0.8085106382978723
4;17-2199.02;Validation Engineers;Engenheiros de Validação;214910;Engenheiro de qualidade;0.8085106382978723
4;17-2199.03;Energy Engineers;Engenheiros de energia;214605;Engenheiro de materiais;0.8
4;17-2199.03;Energy Engineers;Engenheiros de energia;214705;Engenheiro de mineração;0.8
4;17-2199.04;Manufacturing Engineers;Engenheiros de fabricação;214920;Engenheiro de riscos;0.8
4;17-2199.05;Mechatronics Engineers;Engenheiros mecatrônicos;202105;Engenheiro mecatrônico;0.9565217391304348
5;17-2199.06;Microsystems Engineers;Engenheiros de Microsistemas;214920;Engenheiro de riscos;0.75
4;17-2199.07;Photonics Engineers;Engenheiros de fotônica;214945;Engenheiro de logistica;0.8260869565217391
4;17-2199.08;Robotics Engineers;Engenheiros de robótica;214945;Engenheiro de logistica;0.8260869565217391
5;17-2199.09;Nanosystems Engineers;Nanosystems Engineers;;;
4;17-2199.10;Wind Energy Engineers;Engenheiros de energia eólica;214605;Engenheiro de materiais;0.7307692307692307
4;17-2199.10;Wind Energy Engineers;Engenheiros de energia eólica;214945;Engenheiro de logistica;0.7307692307692307
4;17-2199.11;Solar Energy Systems Engineers;Engenheiros de sistemas de energia solar;214350;Engenheiro de sistemas de comunicação;0.7792207792207793
4;17-3011.01;Architectural Drafters;Drafters Arquitetônicos;;;
3;17-3011.02;Civil Drafters;Drafters civis;;;
3;17-3012.01;Electronic Drafters;Redatores eletrônicos;261615;Editor de mídia eletrônica;0.6382978723404256
3;17-3012.02;Electrical Drafters;Drafters Elétricos;;;
3;17-3013.00;Mechanical Drafters;Drafters Mecânicos;721215;Torneiro mecânico;0.6285714285714286
4;17-3021.00;Aerospace Engineering and Operations Technicians;Técnicos de Engenharia e Operação Aeroespacial;;;
3;17-3022.00;Civil Engineering Technicians;Técnicos de engenharia civil;318115;Desenhista técnico de engenharia civil;0.7878787878787878
3;17-3023.01;Electronics Engineering Technicians;Técnicos de Engenharia Eletrônica;914405;Mecânico de injeção eletrônica;0.6666666666666666
3;17-3023.03;Electrical Engineering Technicians;Técnicos de Engenharia Elétrica;311205;Técnico de indústria  petroquímica;0.6461538461538462
3;17-3024.00;Electro-Mechanical Technicians;Técnicos eletro-mecânicos;314110;Técnico mecânico;0.7804878048780488
3;17-3024.01;Robotics Technicians;Técnicos de robótica;322505;Técnico de ortopedia;0.75
4;17-3025.00;Environmental Engineering Technicians;Técnicos de Engenharia Ambiental;316110;Técnico de pesquisa mineral;0.6779661016949152
3;17-3026.00;Industrial Engineering Technicians;Técnicos de engenharia industrial;301105;Técnico de laboratório industrial;0.7575757575757576
3;17-3027.00;Mechanical Engineering Technicians;Técnicos de Engenharia Mecânica;203220;Pesquisador de engenharia mecânica;0.7076923076923077
3;17-3027.01;Automotive Engineering Technicians;Técnicos de engenharia automotiva;314305;Técnico automotivo;0.6666666666666666
2;17-3029.01;Non-Destructive Testing Specialists;Especialistas em testes não destrutivos;201215;Especialista em ensaios metrológicos;0.6933333333333334
4;17-3029.02;Electrical Engineering Technologists;Tecnólogos de Engenharia Elétrica;222105;Tecnólogo de engenharia rural;0.7741935483870968
4;17-3029.03;Electromechanical Engineering Technologists;Tecnólogos de engenharia eletromecânica;222105;Tecnólogo de engenharia rural;0.7352941176470589
3;17-3029.04;Electronics Engineering Technologists;Tecnólogos de Engenharia Eletrônica;222105;Tecnólogo de engenharia rural;0.75
4;17-3029.05;Industrial Engineering Technologists;Tecnólogos de engenharia industrial;222105;Tecnólogo de engenharia rural;0.875
4;17-3029.06;Manufacturing Engineering Technologists;Tecnólogos de Engenharia de Fabricação;222105;Tecnólogo de engenharia rural;0.7164179104477612
3;17-3029.07;Mechanical Engineering Technologists;Tecnólogos de Engenharia Mecânica;222105;Tecnólogo de engenharia rural;0.7741935483870968
3;17-3029.08;Photonics Technicians;Técnicos de fotônica;316120;Técnico em geotecnia;0.75
3;17-3029.08;Photonics Technicians;Técnicos de fotônica;322505;Técnico de ortopedia;0.75
3;17-3029.09;Manufacturing Production Technicians;Técnicos de produção de produção;391125;Técnico de programação de produção;0.8787878787878788
4;17-3029.11;Nanotechnology Engineering Technologists;Tecnólogos de Engenharia de Nanotecnologia;222105;Tecnólogo de engenharia rural;0.704225352112676
3;17-3029.12;Nanotechnology Engineering Technicians;Técnicos de Engenharia de Nanotecnologia;325305;Técnico em biotecnologia;0.6875
3;17-3031.01;Surveying Technicians;Técnicos de topografia;710115;Técnico de geologia;0.7804878048780488
3;17-3031.02;Mapping Technicians;Técnicos de Mapeamento;325205;Técnico de alimentos;0.8095238095238095
5;19-1011.00;Animal Scientists;Cientistas de animais;261205;Cientista de informação;0.7272727272727273
4;19-1012.00;Food Scientists and Technologists;Cientistas e tecnólogos alimentares;223288;Dentistas de deficientes;0.6440677966101694
5;19-1013.00;Soil and Plant Scientists;Cientistas de solo e planta;823230;Prensista de rebolo de diamante;0.6551724137931034
5;19-1020.01;Biologists;Biólogos;221105;Biólogo;0.9333333333333333
5;19-1021.00;Biochemists and Biophysicists;Bioquímicos e Biofísicos;;;
5;19-1022.00;Microbiologists;Microbiologistas;221105;Microbiologista;0.967741935483871
5;19-1023.00;Zoologists and Wildlife Biologists;Zoologistas e biólogos da vida selvagem;;;
5;19-1029.01;Bioinformatics Scientists;Cientistas de Bioinformática;261205;Cientista de informação;0.7843137254901961
5;19-1029.02;Molecular and Cellular Biologists;Biólogos moleculares e celulares;;;
5;19-1029.03;Geneticists;Geneticista;201115;Geneticista;1.0
4;19-1031.01;Soil and Water Conservationists;Conservadores de solo e água;862205;Operador de sistemas de água;0.6428571428571429
4;19-1031.02;Range Managers;Gerentes de alcance;513435;Servente de lanche;0.8108108108108109
4;19-1031.03;Park Naturalists;Parque Naturalistas;322125;Terapeuta naturalista;0.65
4;19-1032.00;Foresters;Foresters;263105;Presbítero;0.631578947368421
5;19-1041.00;Epidemiologists;Epidemiologistas;225139;Epidemiologista;0.967741935483871
5;19-1042.00;Medical Scientists, Except Epidemiologists;Cientistas médicos, exceto epidemiologistas;223216;Cirurgião dentista - epidemiologista;0.6582278481012658
5;19-2011.00;Astronomers;Astrônomos;222110;Agrônomo;0.7777777777777778
5;19-2012.00;Physicists;Físicos;213170;Físico (plasma);0.6363636363636364
4;19-2021.00;Atmospheric and Space Scientists;Cientistas atmosféricos e espaciais;223288;Dentista de cuidados especiais;0.6153846153846154
4;19-2031.00;Chemists;Químicos;213205;Químico;0.9333333333333333
5;19-2032.00;Materials Scientists;Cientistas de materiais;142415;Administrador de materiais;0.7755102040816326
4;19-2041.00;Environmental Scientists and Specialists, Including Health;Cientistas e especialistas ambientais, incluindo saúde;;;
5;19-2041.01;Climate Change Analysts;Analistas de Mudanças Climáticas;212405;Analista de sistemas (informática);0.6666666666666666
5;19-2041.02;Environmental Restoration Planners;Planejadores de Restauração Ambiental;314205;Planejador de processos (fabricação de ferramentas);0.6363636363636364
5;19-2041.03;Industrial Ecologists;Ecologistas industriais;214940;Higienista industrial;0.6818181818181818
4;19-2042.00;Geoscientists, Except Hydrologists and Geographers;Geocientistas, exceto hidrólogos e geógrafos;;;
4;19-2043.00;Hydrologists;Hidrólogos;213425;Hidrogeólogo;0.8181818181818182
5;19-2099.01;Remote Sensing Scientists and Technologists;Cientistas e tecnólogos de sensoriamento remoto;;;
5;19-3011.00;Economists;Economistas;211210;Econometrista;0.8333333333333334
5;19-3011.01;Environmental Economists;Economistas ambientais;251230;Economista ambiental;0.9047619047619048
5;19-3022.00;Survey Researchers;Pesquisadores de pesquisa;424120;Pesquisador de preços;0.782608695652174
5;19-3031.01;School Psychologists;Psicólogos escolares;251520;Psicólogo hospitalar;0.65
5;19-3031.02;Clinical Psychologists;Psicólogos clínicos;225335;Patologista clínico;0.6842105263157895
5;19-3031.03;Counseling Psychologists;Psicólogos de aconselhamento;222215;Tecnólogo em alimentos;0.64
5;19-3032.00;Industrial-Organizational Psychologists;Psicólogos industrial-organizacionais;;;
5;19-3039.01;Neuropsychologists and Clinical Neuropsychologists;Neuropsicólogos e neuropsicólogos clínicos;225350;Médico neurofisiologista clínico;0.6216216216216216
