CBO2002;TITULO;trad;Job_Zone;code;prox;title
214745;Tecnólogo em petróleo e gás;Oil and gas technologist;3;29-2055.00;0.6086956521739131;Surgical Technologists
214750;Tecnólogo em rochas ornamentais;Ornamental rock technologist;5;29-2011.02;0.6222222222222222;Cytotechnologists
214705;Engenheiro de minas;Mining engineer;4;17-2121.01;0.7096774193548387;Marine Engineers
214710;Engenheiro de minas (beneficiamento);Mining Engineer (Processing);;;;
214715;Engenheiro de minas (lavra a céu aberto);Mining engineer (open pit mining);;;;
214720;Engenheiro de minas (lavra subterrânea);Mining Engineer (underground mining);2;53-7033.00;0.6419753086419753;Loading Machine Operators, Underground Mining
214725;Engenheiro de minas (pesquisa mineral);Mining Engineer (mineral research);;;;
214730;Engenheiro de minas (planejamento);Mining Engineer (planning);;;;
214735;Engenheiro de minas (processo);Mining Engineer (process);4;17-2121.01;0.6341463414634146;Marine Engineers
214740;Engenheiro de minas (projeto);Mining Engineer (project);;;;
214925;Engenheiro de tempos e movimentos;Time and motion engineer;4;17-2051.01;0.6666666666666666;Transportation Engineers
214910;Engenheiro de controle de qualidade;Quality Control Engineer;4;11-3051.01;0.7142857142857143;Quality Control Systems Managers
214935;Tecnólogo em segurança do trabalho;Technologist in occupational safety;;;;
214940;Higienista ocupacional;Occupational hygienist;5;29-1122.00;0.8;Occupational Therapists
214905;Engenheiro de produção;Production engineer;4;17-2111.03;0.7441860465116279;Product Safety Engineers
214930;Tecnólogo em produção industrial;Technologist in industrial production;;;;
215120;Coordenador de operações de combate à poluição no meio aquaviário;Coordinator of operations to combat pollution in the waterways;;;;
215115;Comandante da marinha mercante;Commander of the merchant navy;;;;
215110;Capitão de manobra da marinha mercante;Commander of the merchant navy;;;;
215145;Prático de portos da marinha mercante;Practice of merchant marine ports;;;;
215105;Agente de manobra e docagem;Maneuvering and docking agent;;;;
215130;Inspetor de terminal;Terminal inspector;2;45-2011.00;0.6341463414634146;Agricultural Inspectors
215135;Inspetor naval;Naval inspector;;;;
215140;Oficial de quarto de navegação da marinha mercante;Merchant Navy Navigation Room Officer;;;;
215125;Imediato da marinha mercante;Immediate of merchant navy;;;;
215150;Vistoriador naval;Naval inspector;;;;
215215;Segundo oficial de máquinas da marinha mercante;Second engineer officer of the merchant navy;;;;
215210;Primeiro oficial de máquinas da marinha mercante;First merchant marine engineer officer;;;;
215205;Oficial superior de máquinas da marinha mercante;Merchant Navy Senior Marine Officer;;;;
215220;Superintendente técnico no transporte aquaviário;Superintendent of waterway transportation;;;;
215305;Piloto de aeronaves;Aircraft pilot;;;;
215310;Piloto de ensaios em vôo;Flight Test Pilot;;;;
215315;Instrutor de vôo;Flight Instructor;3;33-2021.01;0.625;Fire Inspectors
221205;Biomédico;Biomedic;;;;
222115;Engenheiro de pesca;Fishing Engineer;3;53-5031.00;0.7333333333333333;Ship Engineers
222110;Engenheiro agrônomo;Agronomist Engineer;4;17-2199.08;0.7027027027027027;Robotics Engineers
222120;Engenheiro florestal;Forestry Engineer;4;41-9031.00;0.6875;Sales Engineers
222205;Engenheiro de alimentos;Food engineer;4;17-2199.08;0.6451612903225806;Robotics Engineers
222215;Tecnólogo em alimentos;Food Technologist;3;29-2034.00;0.7317073170731707;Radiologic Technologists
223252;Cirurgião dentista - protesiólogo bucomaxilofacial;Dental surgeon - bucomaxillofacial prosthodontist;;;;
223264;Cirurgião dentista - reabilitador oral;Dental Surgeon - Oral Rehabilitator;;;;
223276;Cirurgião dentista - odontologia do trabalho;Dentist Surgeon - Work Dentistry;;;;
223280;Cirurgião dentista - dentística;Dentist - Dental Surgeon;;;;
223284;Cirurgião dentista - disfunção temporomandibular e dor orofacial;Dental surgeon - temporomandibular dysfunction and orofacial pain;;;;
223288;Cirurgião dentista - odontologia para pacientes com necessidades especiais;Dental surgeon - dentistry for patients with special needs;;;;
223293;Cirurgião-dentista da estratégia de saúde da família;Family Health Strategy Surgeon-Dentist;;;;
223204;Cirurgião dentista - auditor;Dental Surgeon - auditor;;;;
223216;Cirurgião dentista - epidemiologista;Dentist Surgeon - Epidemiologist;5;19-1042.00;0.6216216216216216;Medical Scientists, Except Epidemiologists
223220;Cirurgião dentista - estomatologista;Dentist Surgeon - Stomatologist;;;;
223224;Cirurgião dentista - implantodontista;Dental Surgeon - Implant Dentistry;;;;
223228;Cirurgião dentista - odontogeriatra;Dental Surgeon - odontogeriatra;;;;
223232;Cirurgião dentista - odontologista legal;Dental Surgeon - Legal Dentist;;;;
223420;Farmacêutico de alimentos;Food Pharmacist;5;29-1051.00;0.7692307692307693;Pharmacists
223430;Farmacêutico em saúde pública;Pharmacist in public health;;;;
223425;Farmacêutico práticas integrativas e complementares;Pharmacist integrative and complementary practices;;;;
223415;Farmacêutico analista clínico;Pharmacist clinical analyst;3;29-2052.00;0.6382978723404256;Pharmacy Technicians
223435;Farmacêutico industrial;Industrial Pharmacist;5;19-2041.03;0.7142857142857143;Industrial Ecologists
223440;Farmacêutico toxicologista;Pharmacist toxicologist;5;29-1051.00;0.6470588235294118;Pharmacists
223445;Farmacêutico hospitalar e clínico;Hospital and clinical pharmacist;;;;
223505;Enfermeiro;Nurse;;;;
223565;Enfermeiro da estratégia de saúde da família;Family Health Strategy Nurse;;;;
223560;Enfermeiro sanitarista;Sanitary nurse;;;;
223555;Enfermeiro puericultor e pediátrico;Pediatric and pediatric nurse;;;;
223550;Enfermeiro psiquiátrico;Psychiatric nurse;2;31-1013.00;0.7647058823529411;Psychiatric Aides
223540;Enfermeiro neonatologista;Nurse neonatologist;5;29-1151.00;0.6486486486486487;Nurse Anesthetists
223535;Enfermeiro nefrologista;Nurse Nephrologist;5;29-1069.04;0.6666666666666666;Neurologists
223530;Enfermeiro do trabalho;Work nurse;;;;
223525;Enfermeiro de terapia intensiva;Intensive Care Nurse;3;29-1141.01;0.7027027027027027;Acute Care Nurses
223520;Enfermeiro de centro cirúrgico;Surgical Center Nurse;3;29-1141.03;0.6829268292682927;Critical Care Nurses
223515;Enfermeiro de bordo;Nurse on board;;;;
223510;Enfermeiro auditor;Nurse Auditor;4;13-2011.02;0.6666666666666666;Auditors
223570;Perfusionista;Perfusionista;;;;
223640;Fisioterapeuta osteopata;Osteopathic physiotherapist;;;;
223645;Fisioterapeuta quiropraxista;Chiropractic Physiotherapist;;;;
223650;Fisioterapeuta acupunturista;Acupuncturist Physiotherapist;5;29-1199.01;0.6511627906976745;Acupuncturists
223655;Fisioterapeuta esportivo;Sports Physiotherapist;5;29-1123.00;0.6341463414634146;Physical Therapists
223660;Fisioterapeuta  do trabalho;Work Physiotherapist;5;29-1123.00;0.6666666666666666;Physical Therapists
223635;Fisioterapeuta traumato-ortopédica funcional;Functional trauma-orthopedic physiotherapist;;;;
223605;Fisioterapeuta geral;General Physiotherapist;5;29-1123.00;0.6190476190476191;Physical Therapists
223625;Fisioterapeuta respiratória;Respiratory physiotherapist;3;29-1126.00;0.8163265306122449;Respiratory Therapists
223630;Fisioterapeuta neurofuncional;Neurofunctional Physiotherapist;4;29-1125.00;0.6296296296296297;Recreational Therapists
223710;Nutricionista;Nutritionist;;;;
223705;Dietista;Dietitian;;;;
223825;Fonoaudiólogo em disfagia;Speech-Language Pathologist in dysphagia;5;29-1127.00;0.8235294117647058;Speech-Language Pathologists
223810;Fonoaudiólogo geral;General speech therapist;;;;
223830;Fonoaudiólogo em linguagem;Speech-Language Pathologist;5;29-1127.00;0.9818181818181818;Speech-Language Pathologists
223820;Fonoaudiólogo em audiologia;Audiologist in Audiology;5;29-1181.00;0.6111111111111112;Audiologists
223815;Fonoaudiólogo educacional;Educational Speech Therapist;5;29-1122.00;0.7058823529411765;Occupational Therapists
223815;Fonoaudiólogo educacional;Educational Speech Therapist;4;29-1125.00;0.7058823529411765;Recreational Therapists
223840;Fonoaudiólogo em saúde coletiva;Speech Therapist in Public Health;;;;
223835;Fonoaudiólogo em motricidade orofacial;Speech-language pathologist in orofacial motor;5;29-1127.00;0.6756756756756757;Speech-Language Pathologists
223845;Fonoaudiólogo em voz;Speech-Language Pathologist;5;29-1127.00;0.9818181818181818;Speech-Language Pathologists
223910;Ortoptista;orthoptist;5;29-1199.05;0.8571428571428571;Orthoptists
224105;Avaliador físico;Physical evaluator;5;29-1123.00;0.6486486486486487;Physical Therapists
224110;Ludomotricista;Ludomotricista;;;;
224115;Preparador de atleta;Athlete Trainer;5;29-9091.00;0.875;Athletic Trainers
224135;Treinador profissional de futebol;Professional soccer coach;;;;
224125;Técnico de desporto individual e coletivo (exceto futebol);Technician of individual and collective sport (except soccer);;;;
224130;Técnico de laboratório e fiscalização desportiva;Laboratory Technician and Sports Surveillance;;;;
224120;Preparador físico;Physical trainer;5;29-1123.00;0.6857142857142857;Physical Therapists
225106;Médico legista;Medical examiner;4;13-2061.00;0.6857142857142857;Financial Examiners
225106;Médico legista;Medical examiner;3;43-6013.00;0.6857142857142857;Medical Secretaries
225185;Médico hematologista;Hematologist;5;29-1069.02;0.8461538461538461;Dermatologists
225180;Médico geriatra;Geriatric doctor;;;;
225175;Médico geneticista;Medical geneticist;3;43-6013.00;0.7027027027027027;Medical Secretaries
225170;Médico generalista;General practitioner;5;29-1062.00;0.7307692307692307;Family and General Practitioners
225165;Médico gastroenterologista;Gastroenterologist;5;29-2011.02;0.6285714285714286;Cytotechnologists
225160;Médico fisiatra;Physiatrist;5;19-2012.00;0.7619047619047619;Physicists
225155;Médico endocrinologista e metabologista;Endocrinologist and Metabologist;5;19-1023.00;0.6363636363636364;Zoologists and Wildlife Biologists
225154;Médico antroposófico;Anthroposophical doctor;;;;
225150;Médico em medicina intensiva;Physician in intensive medicine;;;;
225148;Médico anatomopatologista;Anatomopathologist;5;19-3091.01;0.7272727272727273;Anthropologists
