"CBO2002";"CIUO88";"titulo"
"201210";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"201215";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"202115";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"202110";"2144";"Ingenieros electronicistas y de telecomunicaciones"
"202120";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"202105";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"203115";"2111";"Físicos y astrónomos"
"203105";"2132";"Programadores informáticos"
"203125";"2113";"Químicos"
"203110";"2114";"Geólogos y geofísicos"
"203225";"2147";"Ingenieros de minas y metalúrgicos y afines"
"203230";"2146";"Ingenieros químicos"
"203220";"2145";"Ingenieros mecánicos"
"203310";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"203320";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"203305";"2221";"Médicos"
"203315";"2223";"Veterinarios"
"203410";"2211";"Biólogos, botánicos, zoólogos y afines"
"203405";"2213";"Agrónomos y afines"
"203415";"2221";"Médicos"
"203420";"2211";"Biólogos, botánicos, zoólogos y afines"
"203525";"2445";"Psicólogos"
"203515";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"203510";"2441";"Economistas"
"203505";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"211120";"2121";"Matemáticos y afines"
"211215";"2122";"Estadísticos"
"212205";"2139";"Profesionales de la informática, no clasificados bajo otros epígrafes"
"212210";"2139";"Profesionales de la informática, no clasificados bajo otros epígrafes"
"212215";"2139";"Profesionales de la informática, no clasificados bajo otros epígrafes"
"212315";"2131";"Creadores y analistas de sistemas informáticos"
"212320";NA;NA
"212310";"2131";"Creadores y analistas de sistemas informáticos"
"213165";"2111";"Físicos y astrónomos"
"213145";"2211";"Biólogos, botánicos, zoólogos y afines"
"213140";"2111";"Físicos y astrónomos"
"213170";"2111";"Físicos y astrónomos"
"213130";"2111";"Físicos y astrónomos"
"213115";"2111";"Físicos y astrónomos"
"213215";"2113";"Químicos"
"213425";"2114";"Geólogos y geofísicos"
"213430";"2114";"Geólogos y geofísicos"
"213435";"2114";"Geólogos y geofísicos"
"213440";"2114";"Geólogos y geofísicos"
"213410";"2114";"Geólogos y geofísicos"
"214005";"2142";"Ingenieros civiles"
"214010";"2142";"Ingenieros civiles"
"214130";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"214280";"2142";"Ingenieros civiles"
"214235";"2142";"Ingenieros civiles"
"214220";"2142";"Ingenieros civiles"
"214370";"2144";"Ingenieros electronicistas y de telecomunicaciones"
"214360";"2143";"Ingenieros electricistas"
"214335";"2143";"Ingenieros electricistas"
"214315";"2143";"Ingenieros electricistas"
"214345";"2143";"Ingenieros electricistas"
"214350";"2143";"Ingenieros electricistas"
"214435";"2145";"Ingenieros mecánicos"
"214535";"2146";"Ingenieros químicos"
"214530";"2146";"Ingenieros químicos"
"214515";"2146";"Ingenieros químicos"
"214615";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214745";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214750";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214710";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214715";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214720";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214730";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214735";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214740";"2147";"Ingenieros de minas y metalúrgicos y afines"
"214935";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"214940";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"214945";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"214920";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"214930";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"215120";"3142";"Capitanes, oficiales de cubierta y prácticos"
"215130";"3142";"Capitanes, oficiales de cubierta y prácticos"
"215125";"3142";"Capitanes, oficiales de cubierta y prácticos"
"215150";"3142";"Capitanes, oficiales de cubierta y prácticos"
"215215";"3141";"Oficiales maquinistas"
"221205";"2211";"Biólogos, botánicos, zoólogos y afines"
"222205";"2145";"Ingenieros mecánicos"
"222215";"2145";"Ingenieros mecánicos"
"223252";"2222";"Odontólogos"
"223264";"2222";"Odontólogos"
"223276";"2222";"Odontólogos"
"223280";"2222";"Odontólogos"
"223284";"2222";"Odontólogos"
"223288";"2222";"Odontólogos"
"223293";"2222";"Odontólogos"
"223204";"2222";"Odontólogos"
"223216";"2222";"Odontólogos"
"223220";"2222";"Odontólogos"
"223224";"2222";"Odontólogos"
"223228";"2222";"Odontólogos"
"223232";"2222";"Odontólogos"
"223420";"2224";"Farmacéuticos"
"223430";"2224";"Farmacéuticos"
"223425";"2224";"Farmacéuticos"
"223415";"2224";"Farmacéuticos"
"223435";"2224";"Farmacéuticos"
"223440";"2224";"Farmacéuticos"
"223445";"2224";"Farmacéuticos"
"223565";"2230";"Personal de enfermería y partería de nivel superior"
"223540";"2230";"Personal de enfermería y partería de nivel superior"
"223535";"2230";"Personal de enfermería y partería de nivel superior"
"223515";"2230";"Personal de enfermería y partería de nivel superior"
"223510";"2230";"Personal de enfermería y partería de nivel superior"
"223570";"2230";"Personal de enfermería y partería de nivel superior"
"223640";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223645";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223650";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223655";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223660";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223635";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223625";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223630";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223825";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223830";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223820";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223815";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223840";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223835";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"223845";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"224105";"3475";"Atletas, deportistas y afines"
"224110";"3475";"Atletas, deportistas y afines"
"225106";"2221";"Médicos"
"225185";"2221";"Médicos"
"225180";"2221";"Médicos"
"225175";"2221";"Médicos"
"225170";"2221";"Médicos"
"225165";"2221";"Médicos"
"225160";"2221";"Médicos"
"225155";"2221";"Médicos"
"225154";"2221";"Médicos"
"225151";"2221";"Médicos"
"225150";"2221";"Médicos"
"225148";"2221";"Médicos"
"225145";"2221";"Médicos"
"225142";"2221";"Médicos"
"225140";"2221";"Médicos"
"225139";"2221";"Médicos"
"225136";"2221";"Médicos"
"225135";"2221";"Médicos"
"225133";"2221";"Médicos"
"225130";"2221";"Médicos"
"225127";"2221";"Médicos"
"225125";"2221";"Médicos"
"225124";"2221";"Médicos"
"225122";"2221";"Médicos"
"225121";"2221";"Médicos"
"225120";"2221";"Médicos"
"225118";"2221";"Médicos"
"225115";"2221";"Médicos"
"225103";"2221";"Médicos"
"225105";"2221";"Médicos"
"225195";"2221";"Médicos"
"225109";"2221";"Médicos"
"225110";"2221";"Médicos"
"225112";"2221";"Médicos"
"225240";"2221";"Médicos"
"225250";"2221";"Médicos"
"225230";"2221";"Médicos"
"225225";"2221";"Médicos"
"225220";"2221";"Médicos"
"225215";"2221";"Médicos"
"225210";"2221";"Médicos"
"225203";"2221";"Médicos"
"225235";"2221";"Médicos"
"225255";"2221";"Médicos"
"225260";"2221";"Médicos"
"225265";"2221";"Médicos"
"225270";"2221";"Médicos"
"225275";"2221";"Médicos"
"225280";"2221";"Médicos"
"225285";"2221";"Médicos"
"225290";"2221";"Médicos"
"225295";"2221";"Médicos"
"225305";"2221";"Médicos"
"225310";"2221";"Médicos"
"225315";"2221";"Médicos"
"225320";"2221";"Médicos"
"225350";"2221";"Médicos"
"225330";"2221";"Médicos"
"225335";"2221";"Médicos"
"225340";"2221";"Médicos"
"225345";"2221";"Médicos"
"225325";"2221";"Médicos"
"226105";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"226110";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"226315";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"226310";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"226320";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"226305";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"231315";"2332";"Maestros de nivel superior de la enseñanza preescolar"
"232120";"2320";"Profesores de la enseñanza secundaria"
"232105";"2320";"Profesores de la enseñanza secundaria"
"232125";"2331";"Maestros de nivel superior de la enseñanza primaria"
"232170";"2320";"Profesores de la enseñanza secundaria"
"233105";"2331";"Maestros de nivel superior de la enseñanza primaria"
"233225";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"233220";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"234120";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"234455";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234460";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234440";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234445";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234450";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234664";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234656";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234652";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234644";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234684";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234680";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234668";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234608";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234612";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234628";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234636";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234640";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234632";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234765";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234755";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234750";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234710";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234905";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"234915";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"239220";"2340";"Maestros e instructores de nivel superior de la enseñanza especial"
"239425";"2351";"Especialistas en métodos pedagógicos y material didáctico"
"239435";"2351";"Especialistas en métodos pedagógicos y material didáctico"
"241205";"2421";"Abogados"
"241220";"2421";"Abogados"
"241225";"2421";"Abogados"
"241320";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241330";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241315";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241310";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241305";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241325";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"241340";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"242220";"2421";"Abogados"
"242205";"2421";"Abogados"
"242250";"2421";"Abogados"
"242240";"2421";"Abogados"
"242230";"2421";"Abogados"
"242225";"2421";"Abogados"
"242405";"2421";"Abogados"
"242410";"2421";"Abogados"
"242910";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"242905";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"251230";"2441";"Economistas"
"251235";"2441";"Economistas"
"251545";"2451";"Autores, periodistas y otros escritores"
"251520";"2451";"Autores, periodistas y otros escritores"
"251555";"2445";"Psicólogos"
"252215";"2411";"Contadores"
"252320";"3439";"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes"
"252315";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252545";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252540";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252535";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252550";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252530";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252505";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252525";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252515";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"252605";"5169";"Personal de los servicios de protección y seguridad, no clasificado bajo otros epígrafes"
"252725";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"252720";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"252715";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"252705";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"252710";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"253135";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"253130";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"253140";"3415";"Representantes comerciales y técnicos de ventas"
"253210";"4122";"Empleados de servicios estadísticos y financieros"
"253215";"4122";"Empleados de servicios estadísticos y financieros"
"253220";"4122";"Empleados de servicios estadísticos y financieros"
"253225";"4122";"Empleados de servicios estadísticos y financieros"
"254105";"3442";"Funcionarios del fisco"
"254205";"3443";"Funcionarios de servicios de seguridad social"
"254305";"3152";"Inspectores de seguridad y salud y control de calidad"
"254410";"3442";"Funcionarios del fisco"
"254420";"3442";"Funcionarios del fisco"
"254505";"3444";"Funcionarios de servicios de expedición de licencias y permisos"
"261130";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"261215";"2432";"Bibliotecarios, documentalistas y afines"
"261430";"2444";"Filólogos, traductores e intérpretes"
"261415";"2444";"Filólogos, traductores e intérpretes"
"261425";"2444";"Filólogos, traductores e intérpretes"
"261525";"2451";"Autores, periodistas y otros escritores"
"261520";"2451";"Autores, periodistas y otros escritores"
"261620";"2451";"Autores, periodistas y otros escritores"
"261625";"2451";"Autores, periodistas y otros escritores"
"261615";"2451";"Autores, periodistas y otros escritores"
"261605";"2451";"Autores, periodistas y otros escritores"
"261705";"2451";"Autores, periodistas y otros escritores"
"261910";"3132";"Operadores de equipos de radiodifusión, televisión y telecomunicaciones"
"261905";"3132";"Operadores de equipos de radiodifusión, televisión y telecomunicaciones"
"262135";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262130";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262225";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262230";"2144";"Ingenieros electronicistas y de telecomunicaciones"
"262235";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262210";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262325";"3471";"Decoradores y diseñadores"
"262330";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"262305";"3471";"Decoradores y diseñadores"
"262310";"3471";"Decoradores y diseñadores"
"262315";NA;NA
"262420";"2452";"Escultores, pintores y afines"
"262425";"2452";"Escultores, pintores y afines"
"262415";"2452";"Escultores, pintores y afines"
"262620";"2453";"Compositores, músicos y cantantes"
"262710";"2453";"Compositores, músicos y cantantes"
"262805";"2454";"Coreógrafos y bailarines"
"262820";"2451";"Autores, periodistas y otros escritores"
"262825";"2454";"Coreógrafos y bailarines"
"262905";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"271110";"5122";"Cocineros"
"271105";"5122";"Cocineros"
"300105";"3114";"Técnicos en electrónica y telecomunicaciones"
"300110";"3115";"Técnicos en mecánica y construcción mecánica"
"301205";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"311520";"3116";"Técnicos en química industrial"
"311505";"3116";"Técnicos en química industrial"
"311720";"8264";"Operadores de máquinas de blanqueo, teñido y tintura"
"312310";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"313115";"3113";"Electrotécnicos"
"313110";"3113";"Electrotécnicos"
"313220";"3122";"Técnicos en control de equipos informáticos"
"313405";"3114";"Técnicos en electrónica y telecomunicaciones"
"314405";"3115";"Técnicos en mecánica y construcción mecánica"
"314410";"3115";"Técnicos en mecánica y construcción mecánica"
"314610";"3117";"Técnicos en ingeniería de minas y metalurgia"
"314625";"3117";"Técnicos en ingeniería de minas y metalurgia"
"316115";"3111";"Técnicos en ciencias físicas y químicas"
"316120";"3111";"Técnicos en ciencias físicas y químicas"
"316325";"3117";"Técnicos en ingeniería de minas y metalurgia"
"316330";"3117";"Técnicos en ingeniería de minas y metalurgia"
"316320";"3117";"Técnicos en ingeniería de minas y metalurgia"
"316315";"3117";"Técnicos en ingeniería de minas y metalurgia"
"317105";"3121";"Técnicos en programación informática"
"317120";"3121";"Técnicos en programación informática"
"317210";"3122";"Técnicos en control de equipos informáticos"
"318510";"3112";"Técnicos en ingeniería civil"
"318605";"3115";"Técnicos en mecánica y construcción mecánica"
"318705";"3113";"Electrotécnicos"
"318710";"3114";"Técnicos en electrónica y telecomunicaciones"
"318805";"7435";"Patronistas y cortadores de tela, cuero y afine"
"319110";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"319205";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"320105";"3211";"Técnicos en ciencias biológicas y afines"
"320110";"3211";"Técnicos en ciencias biológicas y afines"
"321315";"3212";"Técnicos en agronomía, zootecnia y silvicultura"
"321320";"3212";"Técnicos en agronomía, zootecnia y silvicultura"
"322125";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"322135";"5133";"Ayudantes de enfermería a domicilio"
"322130";"5141";"Peluqueros, especialistas en tratamientos de belleza y afines"
"322240";"3231";"Personal de enfermería de nivel medio"
"322245";"3231";"Personal de enfermería de nivel medio"
"322250";"3231";"Personal de enfermería de nivel medio"
"322430";"3225";"Dentistas auxiliares y ayudantes de odontología"
"322425";"3225";"Dentistas auxiliares y ayudantes de odontología"
"322420";"3225";"Dentistas auxiliares y ayudantes de odontología"
"322415";"3225";"Dentistas auxiliares y ayudantes de odontología"
"322605";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"324130";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"324125";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"324120";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"324220";"3211";"Técnicos en ciencias biológicas y afines"
"324215";"3211";"Técnicos en ciencias biológicas y afines"
"325005";"8154";"Operadores de equipos de destilación y de reacción química (excepto petróleo y gas natural)"
"325010";"8154";"Operadores de equipos de destilación y de reacción química (excepto petróleo y gas natural)"
