CODIGO;TITULO;trad;Job_Zone;code;prox;title
141615;Gerente de logística (armazenagem e distribuição);Logistics manager (warehousing and distribution);4;11-3071.03;0.5151515151515151;Logistics Managers
141720;Gerente de crédito e cobrança;Credit and collection manager;4;11-1021.00;0.6;General and Operations Managers
141725;Gerente de crédito imobiliário;Real Estate Credit Manager;4;41-9021.00;0.6666666666666666;Real Estate Brokers
141710;Gerente de agência;Agency Manager;4;19-1031.02;0.7142857142857143;Range Managers
141730;Gerente de crédito rural;Rural Credit Manager;3;11-9061.00;0.6818181818181818;Funeral Service Managers
141705;Gerente de produtos bancários;Banking Product Manager;4;11-3051.03;0.7058823529411765;Biofuels Production Managers
141715;Gerente de câmbio e comércio exterior;Foreign exchange and foreign exchange manager;4;11-3131.00;0.5128205128205128;Training and Development Managers
141735;Gerente de recuperação de crédito;Credit Recovery Manager;4;11-9199.07;0.6;Security Managers
142110;Gerente de riscos;Risk Manager;4;11-2022.00;0.6923076923076923;Sales Managers
142105;Gerente administrativo;Administrative manager;3;11-3011.00;0.7777777777777778;Administrative Services Managers
142120;Tecnólogo em gestão administrativo- financeira;Technologist in administrative and financial management;;;;
142115;Gerente financeiro;Financial manager;4;13-2061.00;0.7777777777777778;Financial Examiners
142210;Gerente de departamento pessoal;Personal department manager;3;11-9061.00;0.5882352941176471;Funeral Service Managers
142205;Gerente de recursos humanos;Human resources manager;4;11-3121.00;0.8936170212765957;Human Resources Managers
142330;Analista de negócios;Business Analyst;4;13-2031.00;0.7096774193548387;Budget Analysts
142325;Relações públicas;Public relations;4;27-3031.00;0.6818181818181818;Public Relations Specialists
142320;Gerente de vendas;Sales manager;4;11-2022.00;0.8888888888888888;Sales Managers
142315;Gerente de marketing;Marketing manager;4;11-2021.00;0.9142857142857143;Marketing Managers
142310;Gerente de comunicação;Communication Manager;4;11-9021.00;0.7619047619047619;Construction Managers
142305;Gerente comercial;Commercial manager;3;49-9092.00;0.7428571428571429;Commercial Divers
142345;Profissional de relações institucionais e governamentais;Professional of institutional and governmental relations;;;;
142335;Analista de pesquisa de mercado;Market Research Analyst;5;15-2031.00;0.7450980392156863;Operations Research Analysts
142340;Ouvidor;Ombudsman;;;;
142415;Gerente de almoxarifado;Warehouse Manager;4;11-2022.00;0.7096774193548387;Sales Managers
142405;Gerente de compras;Purchasing manager;4;11-3061.00;0.918918918918919;Purchasing Managers
142410;Gerente de suprimentos;Supply manager;4;11-9199.04;0.7428571428571429;Supply Chain Managers
142505;Gerente de rede;Network Manager;4;11-9199.07;0.625;Security Managers
142535;Tecnólogo em gestão da tecnologia da informação;Technologist in information technology management;4;15-1199.09;0.5909090909090909;Information Technology Project Managers
142515;Gerente de produção de tecnologia da informação;Information Technology Production Manager;4;15-1199.09;0.9;Information Technology Project Managers
142520;Gerente de projetos de tecnologia da informação;Information Technology Project Manager;4;15-1199.09;0.987012987012987;Information Technology Project Managers
142525;Gerente de segurança de tecnologia da informação;Information Technology Security Manager;4;15-1199.09;0.8717948717948718;Information Technology Project Managers
142510;Gerente de desenvolvimento de sistemas;Systems Development Manager;4;11-3131.00;0.6666666666666666;Training and Development Managers
142530;Gerente de suporte técnico de tecnologia da informação;Manager of technical support of information technology;4;17-3029.03;0.5360824742268041;Electromechanical Engineering Technologists
142605;Gerente de pesquisa e desenvolvimento (p&d);Research and development manager (R & D);4;11-3131.00;0.6301369863013698;Training and Development Managers
142610;Especialista em desenvolvimento de cigarros;Cigarette Development Specialist;4;13-1151.00;0.7647058823529411;Training and Development Specialists
142705;Gerente de projetos e serviços de manutenção;Project Manager & Maintenance Services;3;41-3031.02;0.5428571428571428;Sales Agents, Financial Services
142710;Tecnólogo em sistemas biomédicos;Technologist in biomedical systems;5;19-3039.01;0.5476190476190477;Neuropsychologists and Clinical Neuropsychologists
201105;Bioengenheiro;Bioengenheiro;4;17-2031.00;0.5454545454545454;Biomedical Engineers
201110;Biotecnologista;Biotecnologista;5;29-2011.02;0.75;Cytotechnologists
201115;Geneticista;Geneticist;5;19-1029.03;0.9523809523809523;Geneticists
201225;Especialista em materiais de referência metrológica;Specialist in metrology reference materials;;;;
201220;Especialista em instrumentação metrológica;Specialist in metrology instrumentation;;;;
201205;Pesquisador em metrologia;Researcher in metrology;;;;
201210;Especialista em calibrações metrológicas;Specialist in metrological calibrations;;;;
201215;Especialista em ensaios metrológicos;Specialist in metrology testing;4;11-3051.01;0.5079365079365079;Quality Control Systems Managers
202115;Tecnólogo em mecatrônica;Mechatronics Technologist;4;17-2199.05;0.723404255319149;Mechatronics Engineers
202110;Engenheiro de controle e automação;Control and Automation Engineer;4;17-2051.01;0.6545454545454545;Transportation Engineers
202120;Tecnólogo em automação industrial;Technologist in industrial automation;;;;
202105;Engenheiro mecatrônico;Mecatronic engineer;4;17-2199.05;0.8780487804878049;Mechatronics Engineers
203015;Pesquisador em biologia de microorganismos e parasitas;Researcher in biology of microorganisms and parasites;;;;
203010;Pesquisador em biologia animal;Researcher in animal biology;;;;
203025;Pesquisador em biologia vegetal;Researcher in plant biology;;;;
203020;Pesquisador em biologia humana;Researcher in human biology;;;;
203005;Pesquisador em biologia ambiental;Researcher in environmental biology;;;;
203115;Pesquisador em física;Researcher in Physics;5;29-1069.05;0.5833333333333334;Nuclear Medicine Physicians
203105;Pesquisador em ciências da computação e informática;Researcher in computer science and computer science;;;;
203125;Pesquisador em química;Researcher in chemistry;5;19-3022.00;0.5365853658536586;Survey Researchers
203120;Pesquisador em matemática;Researcher in mathematics;4;15-1199.10;0.5283018867924528;Search Marketing Strategists
203110;Pesquisador em ciências da terra e meio ambiente;Researcher in earth science and environment;;;;
203215;Pesquisador de engenharia elétrica e eletrônica;Researcher of electrical and electronic engineering;2;51-2022.00;0.5979381443298969;Electrical and Electronic Equipment Assemblers
203205;Pesquisador de engenharia civil;Civil Engineering Researcher;3;17-3022.00;0.7368421052631579;Civil Engineering Technicians
203225;Pesquisador de engenharia metalúrgica, de minas e de materiais;Researcher of metallurgical, mining and materials engineering;;;;
203230;Pesquisador de engenharia química;Chemical Engineering Researcher;4;17-2041.00;0.7346938775510204;Chemical Engineers
203220;Pesquisador de engenharia mecânica;Mechanical Engineering Researcher;3;17-3027.00;0.7761194029850746;Mechanical Engineering Technicians
203210;Pesquisador de engenharia e tecnologia (outras áreas da engenharia);Researcher of engineering and technology (other areas of engineering);;;;
203310;Pesquisador de medicina básica;Researcher of basic medicine;;;;
203320;Pesquisador em saúde coletiva;Researcher in public health;;;;
203305;Pesquisador de clínica médica;Medical Clinical Researcher;4;11-9121.01;0.631578947368421;Clinical Research Coordinators
203315;Pesquisador em medicina veterinária;Researcher in veterinary medicine;3;17-3027.00;0.5074626865671642;Mechanical Engineering Technicians
203410;Pesquisador em ciências da pesca e aqüicultura;Researcher in fisheries and aquaculture sciences;;;;
203405;Pesquisador em ciências agronômicas;Researcher in agronomic sciences;;;;
203415;Pesquisador em ciências da zootecnia;Researcher in zootechnical sciences;3;29-2054.00;0.5151515151515151;Respiratory Therapy Technicians
203420;Pesquisador em ciências florestais;Researcher in forestry;5;19-3022.00;0.55;Survey Researchers
203525;Pesquisador em psicologia;Researcher in psychology;5;19-3031.03;0.5416666666666666;Counseling Psychologists
203520;Pesquisador em história;Researcher in history;5;19-3022.00;0.5641025641025641;Survey Researchers
203515;Pesquisador em ciências da educação;Researcher in education sciences;;;;
203510;Pesquisador em economia;Researcher in economics;3;29-2054.00;0.5555555555555556;Respiratory Therapy Technicians
203505;Pesquisador em ciências sociais e humanas;Researcher in social and human sciences;4;13-1161.00;0.5168539325842697;Market Research Analysts and Marketing Specialists
204105;Perito criminal;Forensics expert;4;19-1032.00;0.56;Foresters
211105;Atuário;Actuary;4;15-2011.00;0.75;Actuaries
211120;Matemático aplicado;Applied Mathematician;5;15-2021.00;0.7428571428571429;Mathematicians
211115;Matemático;Mathematical;5;15-2021.00;0.8461538461538461;Mathematicians
211110;Especialista em pesquisa operacional;Operational Research Specialist;5;15-2031.00;0.7796610169491526;Operations Research Analysts
211215;Estatístico teórico;Theoretical Statistician;5;15-2041.00;0.6486486486486487;Statisticians
211210;Estatístico (estatística aplicada);Statistics (applied statistics);4;43-9111.00;0.6037735849056604;Statistical Assistants
211205;Estatístico;Statistical;5;15-2041.00;0.8333333333333334;Statisticians
212205;Engenheiro de aplicativos em computação;Computer Application Engineer;4;17-2061.00;0.6785714285714286;Computer Hardware Engineers
212210;Engenheiro de equipamentos em computação;Computer Equipment Engineer;4;17-2061.00;0.7037037037037037;Computer Hardware Engineers
212215;Engenheiros de sistemas operacionais em computação;Computer Operational Systems Engineers;4;11-3021.00;0.7341772151898734;Computer and Information Systems Managers
212315;Administrador de sistemas operacionais;Operating Systems Administrator;4;15-1142.00;0.6756756756756757;Network and Computer Systems Administrators
212320;Administrador em segurança da informação;Information Security Administrator;4;15-1122.00;0.7936507936507936;Information Security Analysts
212305;Administrador de banco de dados;Database manager;4;15-1141.00;0.6153846153846154;Database Administrators
212310;Administrador de redes;Network administrator;3;15-1199.03;0.717948717948718;Web Administrators
212405;Analista de desenvolvimento de sistemas;System Development Analyst;5;13-1111.00;0.5777777777777777;Management Analysts
212410;Analista de redes e de comunicação de dados;Network and data communications analyst;4;11-3071.02;0.5277777777777778;Storage and Distribution Managers
212415;Analista de sistemas de automação;Automation Systems Analyst;4;15-1121.00;0.7058823529411765;Computer Systems Analysts
212420;Analista de suporte computacional;Computer Support Analyst;4;15-1121.00;0.7755102040816326;Computer Systems Analysts
213165;Físico (partículas e campos);Physical (particles and fields);3;31-2021.00;0.5333333333333333;Physical Therapist Assistants
213160;Físico (óptica);Physical (optical);5;29-1123.00;0.5945945945945946;Physical Therapists
213155;Físico (nuclear e reatores);Physicist (nuclear and reactors);4;27-3043.05;0.5217391304347826;Poets, Lyricists and Creative Writers
213150;Físico (medicina);Physicist (medicine);5;19-2012.00;0.6;Physicists
213145;Físico (materiais);Physical (materials);5;29-1123.00;0.6666666666666666;Physical Therapists
213125;Físico (estatística e matemática);Physicist (statistics and mathematics);5;29-2091.00;0.5230769230769231;Orthotists and Prosthetists
213110;Físico (acústica);Physical (acoustic);5;29-1123.00;0.631578947368421;Physical Therapists
213105;Físico;Physical;5;19-2012.00;0.6666666666666666;Physicists
213140;Físico (matéria condensada);Physical (condensed matter);;;;
213170;Físico (plasma);Physical (plasma);5;29-1123.00;0.6111111111111112;Physical Therapists
213175;Físico (térmica);Physical (thermal);5;29-1123.00;0.7027027027027027;Physical Therapists
213135;Físico (instrumentação);Physical (instrumentation);4;27-2042.02;0.6122448979591837;Musicians, Instrumental
213130;Físico (fluidos);Physical (fluid);5;29-1123.00;0.5714285714285714;Physical Therapists
213120;Físico (cosmologia);Physicist (cosmology);5;19-2012.00;0.6451612903225806;Physicists
213115;Físico (atômica e molecular);Physical (atomic and molecular);2;31-2022.00;0.509090909090909;Physical Therapist Aides
213215;Tecnólogo em processos químicos;Technologist in chemical processes;3;29-2056.00;0.5675675675675675;Veterinary Technologists and Technicians
213210;Químico industrial;Industrial chemical;3;49-9041.00;0.6530612244897959;Industrial Machinery Mechanics
213205;Químico;Chemical;4;19-2031.00;0.625;Chemists
213305;Astrônomo;Astronomer;5;19-2011.00;0.9523809523809523;Astronomers
213315;Meteorologista;Weatherman;5;15-2021.00;0.5833333333333334;Mathematicians
213310;Geofísico espacial;Space geophysicist;5;19-2012.00;0.5714285714285714;Physicists
213425;Hidrogeólogo;Hydrogeologist;4;19-2043.00;0.8461538461538461;Hydrologists
213430;Paleontólogo;Paleontologist;5;29-1069.07;0.7692307692307693;Pathologists
213435;Petrógrafo;Petrologist;5;29-1069.04;0.782608695652174;Neurologists
213440;Oceanógrafo;Oceanographer;5;19-3092.00;0.75;Geographers
213405;Geólogo;Geologist;5;29-1069.04;0.7619047619047619;Neurologists
213410;Geólogo de engenharia;Engineering Geologist;4;17-3029.02;0.7017543859649122;Electrical Engineering Technologists
213415;Geofísico;Geophysical;4;19-4041.01;0.5641025641025641;Geophysical Data Technicians
213420;Geoquímico;Geochemical;4;17-2199.01;0.5625;Biochemical Engineers
214005;Engenheiro ambiental;Environmental engineer;5;17-2081.00;0.9333333333333333;Environmental Engineers
214010;Tecnólogo em meio ambiente;Technologist in environment;;;;
214130;Urbanista;Town planner;4;19-3099.01;0.5714285714285714;Transportation Planners
214125;Arquiteto urbanista;Urban architect;4;17-2121.02;0.6875;Marine Architects
214120;Arquiteto paisagista;Landscape architect;4;17-1012.00;0.9230769230769231;Landscape Architects
214115;Arquiteto de patrimônio;Heritage Architect;4;17-2121.02;0.7428571428571429;Marine Architects
214110;Arquiteto de interiores;Interior Architect;4;17-2121.02;0.6857142857142857;Marine Architects
214105;Arquiteto de edificações;Building Architect;4;17-2121.02;0.6857142857142857;Marine Architects
214280;Tecnólogo em construção civil;Technologist in construction;5;29-2011.02;0.5333333333333333;Cytotechnologists
214230;Engenheiro civil (geotécnia);Civil engineer (geotechnical);3;17-3022.00;0.7241379310344828;Civil Engineering Technicians
214235;Engenheiro civil (hidrologia);Civil engineer (hydrology);4;17-2051.00;0.6341463414634146;Civil Engineers
214240;Engenheiro civil (hidráulica);Civil Engineer (Hydraulics);4;17-2051.00;0.7142857142857143;Civil Engineers
214245;Engenheiro civil (pontes e viadutos);Civil engineer (bridges and viaducts);3;17-3022.00;0.5454545454545454;Civil Engineering Technicians
214225;Engenheiro civil (ferrovias e metrovias);Civil engineer (railways and subways);3;17-3022.00;0.5454545454545454;Civil Engineering Technicians
214255;Engenheiro civil (rodovias);Civil engineer (highways);4;17-2051.00;0.7;Civil Engineers
214250;Engenheiro civil (portos e vias navegáveis);Civil engineer (ports and waterways);2;51-2021.00;0.5633802816901409;Coil Winders, Tapers, and Finishers
214220;Engenheiro civil (estruturas metálicas);Civil engineer (metal structures);4;17-2051.00;0.5833333333333334;Civil Engineers
214215;Engenheiro civil (edificações);Civil engineer (buildings);4;17-2051.00;0.6829268292682927;Civil Engineers
214210;Engenheiro civil (aeroportos);Civil engineer (airports);4;17-2051.00;0.7;Civil Engineers
214205;Engenheiro civil;Civil engineer;4;17-2051.00;0.896551724137931;Civil Engineers
214260;Engenheiro civil (saneamento);Civil engineer (sanitation);4;17-2051.00;0.6666666666666666;Civil Engineers
214265;Engenheiro civil (túneis);Civil engineer (tunnels);4;17-2051.00;0.717948717948718;Civil Engineers
214270;Engenheiro civil (transportes e trânsito);Civil engineer (transport and transit);4;17-2051.00;0.5283018867924528;Civil Engineers
214365;Tecnólogo em eletrônica;Technologist in electronics;3;29-2056.00;0.6268656716417911;Veterinary Technologists and Technicians
214370;Tecnólogo em telecomunicações;Telecommunications Technologist;3;15-1143.01;0.684931506849315;Telecommunications Engineering Specialists
214360;Tecnólogo em eletricidade;Technologist in electricity;3;29-2056.00;0.5970149253731343;Veterinary Technologists and Technicians
214335;Engenheiro de manutenção de telecomunicações;Telecommunication Maintenance Engineer;3;15-1143.01;0.65;Telecommunications Engineering Specialists
214330;Engenheiro eletrônico de projetos;Electronic Project Engineer;4;17-2071.00;0.723404255319149;Electrical Engineers
214325;Engenheiro eletrônico de manutenção;Electronic Maintenance Engineer;4;17-2071.00;0.7058823529411765;Electrical Engineers
214320;Engenheiro eletricista de projetos;Electrical Engineer;4;17-2071.00;0.9743589743589743;Electrical Engineers
214320;Engenheiro eletricista de projetos;Electrical Engineer;4;17-2071.00;0.9743589743589743;Electrical Engineers
